,course_title,course_unit,equivalent_courses,instructors,notes
RLST 27500,Medicine and Culture,100,"ANTH 40300,GNDR 24300,GNDR 40300,HIPS 27300,ANTH 24300",J. Comaroff,
RLST 27516,Religious Lyric in England & America: from Donne to T.S. Eliot,100,"ENGL 37516,RLST 37516,ENGL 17516",R. Strier,
RLST 28020,"Animals, Ethics, and Religion",100,ENGL 24951,K. Mershon,"Religious Studies majors and minors may petition to have this course counted towards the Constructive Studies requirement rather than the Cultural Studies requirement.,,English majors: this course meets the Fiction (B) distribution requirement."
RLST 28215,Thomas Mann's Joseph and His Brothers,100,"GRMN 25117,CMLT 25103,JWSC 23402,FNDL 25100",O. Solovieva,
RLST 28610,Topics in EALC: Major Works of East Asian Buddhism,100,EALC 10500,P. Copp,
RLST 28617,"The Dao De Jing: Text, Philosophy, and Religion",100,"EALC 35405,EALC 15405",B. Zhou,
RLST 28704,"The Veneration of Icons in Byzantium:History,Theory,& Practice",100,"ARTH 44014,RLIT 44004,HCHR 44004",Karin Krause,
RLST 28716,Veiling the Image: Sacred & Profane – Antiquity to Modernity,100,"ARTH 39150,RLIT 39150,ARTH 29150",J. Elsner,
RLST 29700,Reading and Research Course,100,,,Students are required to submit the College Reading and Research Course Form.
RLST 29800,BA Paper Seminar,100,,,RLST 29800 and 29900 form a two-quarter sequence that is required of fourth-year students who are majoring in Religious Studies. Students will register via pink slip.
RLST 29900,BA Paper,100,,,RLST 29800 and 29900 form a two-quarter sequence that is required of fourth-year students who are majoring in Religious Studies. Students will register via pink slip.
ASLG 10100,American Sign Language I,100,,Drucilla Ronchen,
ASLG 10200,American Sign Language II,100,,Drucilla Ronchen,
ASLG 10300,American Sign Language III,100,,Drucilla Ronchen,
ASLG 10400,Intermediate American Sign Language I,100,,Drucilla Ronchen,
ASLG 10500,Intermediate American Sign Language II,100,,Drucilla Ronchen,
ASLG 10600,Intermediate American Sign Language III,100,,Drucilla Ronchen,
BASQ 12000,Elementary Basque I,100,,Diana Palenzuela,
BASQ 12100,Elementary Basque II,100,,Diana Palenzuela,
BASQ 12200,Elementary Basque III,100,,Diana Palenzuela,
LING 20001,Introduction to Linguistics,100,,,
LING 20101,Introduction to Phonetics and Phonology,100,,Staff,
LING 20150,Language and Communication,100,"CHDV 20150,CHDV 30150,LING 30150",Salikoko Mufwene,"CHDV Distribution, B*,C*; 5*"
LING 20201,Introduction to Syntax,100,,Chris Kennedy,
LING 20301,Introduction to Semantics and Pragmatics,100,,Itamar Francez,
LING 20721,Dynamic Semantics,100,"LING 30721,PHIL 30721,PHIL 20721",M. Willer,
LING 21000,Morphology,100,,,
LING 21010,Mathematical Foundations,100,LING 31010,Greg Kobele,
LING 21310,Introduction to Indo-European Linguistics,100,,Yaroslav Gorbachev,
LING 21600,Introduction to Language Development,100,"CHDV 23900,LING 31600,PSYC 23200",S. Goldin-Meadow,"CHDV Distribution, B*; 2*, 5*"
LING 21720,Sociophonetics,100,LING 31720,Alan Yu,
LING 21920,The Evolution of Language,100,"CHSS 41920,ANTH 47305,CHDV 41920,EVOL 41920,PSYC 41920,CHDV 21920,LING 41920",S. Mufwene,
LING 23400,Language in an Age of Microagression,100,,Jason Riggle,
LING 23600,Language of Space & Place,100,,Hilary McMahan,
LING 24960,Creole Genesis and Genetic Linguistics,100,LING 34960,Salikoko Mufwene,
LING 25200,Grammatical Gender,100,,Cherry Meyer,
LING 26002,Sociolinguistics,100,,Laura Casasanto,
LING 26020,Truth,100,SIGN 26007,Chris Kennedy,
LING 26310,Contact Linguistics,100,"SLAV 20600,SLAV 30600,LING 36310",Staff,
LING 27010,Psycholinguistics,100,,Staff,
LING 27130,"America: Society, Polity, and Speech Community",100,ANTH 27130,M. Silverstein,
LING 27200,Language/Power/Identity in South East Europe,100,"ANTH 27400,ANTH 37400,HUMA 27400,SLAV 23000,SLAV 33000,LING 37200",V. Friedman,
LING 27220,Professional Persuasions: The Rhetoric of Expertise in Modern Life,100,ANTH 27505,S. Gal,
LING 27430,Linguistic Politics: Language Revitalization,100,ANTH 27430,S. Gal,
LING 27500,Language and Globalization,100,"ANTH 27705,ANTH 47905,CRES 27500,CRES 37500,LING 37500",Salikoko Mufwene,
LING 27810,Romani Language and Linguistics,100,"ANTH 27700,ANTH 47900,LING 37810",Victor Friedman,
LING 28355,A Linguistic Introduction to Swahili-1,100,,Fidèle Mpiranya,
LING 28370,African Languages,100,LING 38370,Fidele Mpiranya,
LING 28380,Introduction to Kinyarwanda I,100,LING 38380,F. Mpiranya,
LING 28381,Introduction to Kinyarwanda II,100,LING 38381,Fidele Mprianya,
LING 28600,Computational Linguistics,100,"CMSC 35050,LING 38600,CMSC 25020",J. Goldsmith,
LING 29700,Reading and Research Course,100,,,Students are required to submit the College Reading and Research Course Form.
LING 29900,BA Paper Preparation Course,100,,,Students are required to submit the College Reading and Research Course Form.
MOGK 10100,Elementary Modern Greek I,100,"NELG 10100,MOGK 30100",Chrysanthi Koutsiviti,
MOGK 10200,Elementary Modern Greek II,100,"NELG 10200,MOGK 30200",Chrysanthi Koutsiviti,
MOGK 10300,Elementary Modern Greek III,100,"NELG 10300,MOGK 30300",Chrysanthi Koutsiviti,
MOGK 20100,Intermediate Modern Greek I,100,NELG 20100,Chrysanthi Koutsiviti,
MOGK 20200,Intermediate Modern Greek II,100,NELG 20200,Chrysanthi Koutsiviti,
MOGK 20300,Intermediate Modern Greek III,100,NELG 20300,Chrysanthi Koutsiviti,
SWAH 25200,Swahili I,100,,Fidele Mpiranya,
SWAH 25300,Swahili II,100,,Fidele Mpiranya,
SWAH 25400,Swahili III,100,,F. Mpiranya,
SWAH 26800,Intermediate Swahili I,100,,F. Mpiranya,
SWAH 26900,Intermediate Swahili II,100,,Fidele Mpiranya,
SWAH 27000,Intermediate Swahili III,100,,Fidele Mpiranya,
AANL 10101,Elementary Hittite I,100,,Staff,
AANL 10102,Elementary Hittite II,100,,,
AANL 10103,Elementary Hittite III,100,,Staff,
AANL 20127,Advanced Readings: Hittite Historical Texts,100,,"Goedegebuure, Petra",
AANL 20128,Advanced Readings: Hittite Wisdom Literature,100,,"Goedegebuure, Petra",
AANL 20301,Hieroglyphic Luwian I,100,,"Goedegebuure, Petra",
AANL 20302,Hieroglyphic Luwian II,100,,"Goedegebuure, Petra",
AKKD 10101,Elementary Akkadian I,100,,"Reculeau, Hervé",
AKKD 10102,Elementary Akkadian II,100,,"Wee, John",
AKKD 10103,Elementary Akkadian III,100,,"Paulus, Susanne",
AKKD 20601,Intermediate Akkadian: Myths of Creation and Destruction,100,,"Wee, John",
ARAB 10101,Elementary Arabic I,100,,"N. Forster, O. abu-Eledam, L. Choudar",The class meets for six hours a week
ARAB 10102,Elementary Arabic II,100,,"L. Choudar, O. abu-Eledam, N. Forster",The class meets for six hours a week
ARAB 10103,Elementary Arabic III,100,,"O. abu-Eledam, L. Choudar, N. Forster",The class meets for six hours a week
ARAB 10250,Colloquial Levantine Arabic,100,,O. abu-Eledam,
ARAB 10254,Egyptian Colloquial Arabic,100,,H. Abdel Mobdy,
ARAB 19999,Skills Review for Intermediate Arabic,100,,H. Abdel Mobdy,
ARAB 20101,Intermediate Arabic I,100,,"H. Abdel Mobdy, L. Choudar, K. Heikkinen",
ARAB 20102,Intermediate Arabic II,100,,"H. Abdel Mobdy, L. Choudar, K. Heikkinen",
ARAB 20103,Intermediate Arabic III,100,,"H. Abdel Mobdy, K. Heikkinen",
ARAB 20351,Maghribi Colloquial & Culture,100,ARAB 30351,"Choudar, Lakhdar",
ARAB 20390,Arabic in Social Context,100,,N. Forster,
ARAB 20588,Media Arabic,100,ARAB 30588,H. Abdel Mobdy,
ARAB 29001,Arabic through Film,100,,N. Forster,
ARAM 10101,Biblical Aramaic,100,JWSC 11000,S. Creason,
ARAM 10102,Old Aramaic Inscriptions,100,JWSC 11100,S. Creason,
ARAM 10103,Imperial Aramaic,100,JWSC 11200,S. Creason,
ARME 10101,Elementary Modern Armenian I,100,EEUR 21100,H. Haroutunian,
ARME 10102,Elementary Modern Armenian II,100,EEUR 21200,H. Haroutunian,
ARME 10103,Elementary Modern Armenian III,100,EEUR 21300,H. Haroutunian,
ARME 10501,Introduction to Classical Armenian,100,,H. Haroutunian,
ARME 20101,Intermediate Modern Armenian I,100,,H. Haroutunian,
ARME 20102,Intermediate Modern Armenian II,100,,H. Haroutunian,
ARME 20103,Intermediate Modern Armenian III,100,,H. Haroutunian,
EGPT 10101,Introduction to Middle Egyptian Hieroglyphs I,100,ANCM 30500,R. Ritner,
EGPT 10102,Introduction to Middle Egyptian Hieroglyphs II,100,ANCM 30501,R. Ritner,
EGPT 10103,Middle Egyptian Texts I,100,ANCM 30502,J. Johnson,
EGPT 10201,Introduction to Coptic,100,HCHR 30601,Staff,
EGPT 10202,Coptic Texts,100,HCHR 30602,Staff,
EGPT 20101,Middle Egyptian Texts II,100,,J. Johnson,
EGPT 20102,Introduction to Hieratic,100,,B. Muhs,
EGPT 20110,Introduction to Old Egyptian,100,,Staff,
EGPT 20210,Introduction to Late Egyptian,100,,J. Johnson,
EGPT 20211,Late Egyptian Texts,100,ANCM 34200,B. Muhs,
GEEZ 10101,Elementary Ge'ez I,100,,R. Hasselbach,
GEEZ 10102,Elementary Ge'ez II,100,,R. Hasselbach,
HEBR 10101,Elementary Classical Hebrew I,100,JWSC 22000,S. Creason,This class meets 5 times a week
HEBR 10102,Elementary Classical Hebrew II,100,JWSC 22100,S. Creason,This class meets 5 times a week
HEBR 10103,Elementary Classical Hebrew III,100,JWSC 22200,S. Creason,This class meets 5 times a week
HEBR 10501,Introductory Modern Hebrew I,100,JWSC 25000,A. Almog,
HEBR 10502,Introductory Modern Hebrew II,100,JWSC 25100,A. Almog,
HEBR 10503,Introductory Modern Hebrew III,100,JWSC 25200,A. Almog,
HEBR 20104,Intermediate Classical Hebrew I,100,JWSC 22300,D. Pardee,
HEBR 20105,Intermediate Classical Hebrew II,100,JWSC 22400,D. Pardee,
HEBR 20106,Intermediate Classical Hebrew III,100,JWSC 22500,D. Pardee,
HEBR 20501,Intermediate Modern Hebrew I,100,JWSC 25300,A. Almog,The course is devised for students who have previously taken either modern or biblical Hebrew courses.
HEBR 20502,Intermediate Modern Hebrew II,100,JWSC 25400,A. Almog,The course is devised for students who have previously taken either modern or biblical Hebrew courses.
HEBR 20503,Intermediate Modern Hebrew III,100,JWSC 25500,A. Almog,The course is devised for students who have previously taken either modern or biblical Hebrew courses.
KAZK 10101,Elementary Kazakh I,100,,K. Arik,
KAZK 10102,Elementary Kazakh II,100,,STAFF,
KAZK 10103,Elementary Kazakh III,100,,,
KAZK 20101,Intermediate Kazakh I,100,,K. Arik,
KAZK 20102,Intermediate Kazakh II,100,,K. Arik,
KAZK 20103,Intermediate Kazakh III,100,,K. Arik,
NEAA 10630,"Islamic Art and Architecture, 1100 to 1500",100,"NEHC 16709,ARTH 16709",P. Berlekamp,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 14000 through 16999 course meets the general education requirement in the arts."
NEAA 10631,"Islamic Art and Architecture, 1500–1900",100,ARTH 16809,P. Berlekamp,Students must attend first class to confirm enrollment. This course meets the general education requirement in the arts.
NEAA 20001,Archaeology of the Ancient Near East I: Mesopotamia,100,NEAA 30001,M. Gibson,This sequence does not meet the general education requirements in civilization studies.
NEAA 20002,Archaeology of the Ancient Near East II: Anatolia,100,NEAA 30002,J. Osborne,Taking these courses in sequence is not required. This sequence does not meet the general education requirement in civilization studies.
NEAA 20003,Archaeology of the Ancient Near East III: Levant,100,NEAA 30003,,This sequence does not meet the general education requirement in civilization studies.
NEAA 20004,Archaeology of the Ancient Near East IV: Pre-Islamic Arabia,100,NEAA 30004,,This sequence does not meet the general education requirements in civilization studies.
NEAA 20005,Archaeology of the Ancient Near East V: Islamic Period,100,NEAA 30005,D. Whitcomb,This sequence does not meet the general education requirements in civilization studies.
NEAA 20006,Archaeology of the Ancient Near East VI: Egypt,100,NEAA 30006,N. Moeller,This sequence does not meet the general education requirements in civilization studies.
NEAA 20045,Economic Organization of Ancient Complex Societies,100,"ANTH 26740,ANTH 36740,NEAA 30045",G. Stein,
NEAA 20051,Method and Theory in Near Eastern Archaeology,100,NEAA 30051,D. Schloen,
NEAA 20061,Ancient Landscapes I,100,"NEAA 30061,ANTH 36710,GEOG 25400,GEOG 35400,ANTH 26710",E. Hammer,
NEAA 20062,Ancient Landscapes II,100,"ANTH 26711,GEOG 25800,GEOG 35800,ANTH 36711",E. Hammer,
NEAA 20070,Intro to the Archaeology of Afghanistan,100,NEAA 30070,G. Stein,
NEAA 20071,Texts in Context: Documents and Archaeology,100,NEAA 30071,M. Gibson,
NEAA 20250,The Archaeology of the Amarna Period in Egypt,100,NEAA 30250,N. Moeller,
NEAA 20310,The Pre-History of the Levant,100,ANTH 26735,,
NEAA 20330,The Neo-Hittite and Aramaean City-States,100,NEAA 30330,J. Osborne,
NEAA 20501,Introduction to Islamic Archaeology,100,NEAA 30501,D. Whitcomb,
NEAA 20533,Problems in Islamic Archaeology: Regional Studies,100,NEAA 30533,D. Whitcomb,This sequence does NOT meet the general education requirements in civilization studies.
NEAA 26712,Archaeological Approaches to Settlement and Landscape Survey,100,"ANTH 36712,NEAA 36712,ANTH 26712","A. Yao, E. Hammer",
NEAA 29700,Reading and Research Course: Near Eastern Art and Archaeology,100,,,
NEHC 10101,Introduction to the Middle East,100,"HIST 15801,SIGN 26005",F. Donner,
NEHC 16709,"Islamic Art and Architecture, 1100 to 1500",100,"NEAA 10630,ARTH 16709",P. Berlekamp,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 14000 through 16999 course meets the general education requirement in the arts."
NEHC 20003,Ancient Near Eastern History and Society III: Anatolia and Levant,100,,P. Goedegebuure,
NEHC 20006,Ancient Near Eastern Thought and Literature III: Egypt,100,NEHC 30006,B. Muhs,Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies
NEHC 20011,Ancient Empires I,100,"CLCV 25700,HIST 15602,NEHC 30011",H. Haroutunian,Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.
NEHC 20012,Ancient Empires II: The Ottoman Empire,100,"CLCV 25800,HIST 15603,NEHC 30012",H. Karateke,Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.
NEHC 20013,Ancient Empires III: The Egyptian Empire of the New Kingdom,100,"CLCV 25900,HIST 15604,NEHC 30013",N. Moeller,Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.
NEHC 20030,Introduction to the Qur'an,100,"NEHC 30030,RLST 11030,ISLM 30030",Yousef Casewit,
NEHC 20037,Introduction to Islamic and Jewish Law,100,NEHC 30037,A. El Shamsy,
NEHC 20050,The Origins of Empire,100,NEHC 30050,R. Payne,
NEHC 20075,The Exotic and the Exotified:  Gender in the Ancient Near East,100,NEHC 30075,M. E. Buck,
NEHC 20085,Big: Monumental Buildings and Sculptures Past and Present,100,SIGN 26000,James Osborne,
NEHC 20121,The Bible and Archaeology,100,"NEHC 30121,RLST 20408,JWSC 20121",David Schloen,This course may be used to fulfill the College’s general education requirement in civilization studies.
NEHC 20223,Narratives of Assimilation,100,"REES 27003,REES 37003,RLST 26623,NEHC 30223,JWSC 20223",Bożena Shallcross,This course may be used to fulfill the general education requirement in civilization studies.
NEHC 20226,Jewish Literature in a Century of Transformation: 1880-1980,100,"CMLT 20226,CMLT 30226,NEHC 30226,JWSC 20226",Na'ama Rokem,This course may be used to fulfill the general education requirement in civilization studies.
NEHC 20287,Egypt in Late Antiquity,100,NEHC 30287,S. Torallas-Tovar,
NEHC 20416,"Semitic Languages, Cultures, and Civilizations I",100,"HIST 15702,NEHC 30416",S. Paulus,
NEHC 20417,"Semitic Languages, Cultures, and Civilizations II",100,"HIST 15703,NEHC 30417",H. Reculeau,Not open to first-year students
NEHC 20418,"Semitic Languages, Cultures, and Civilizations III",100,"HIST 15704,NEHC 30418",R. Payne,Not open to first-year students.
NEHC 20501,Islamic History and Society I: The Rise of Islam and the Caliphate,100,"NEHC 30501,HIST 25704,HIST 35704,ISLM 30500,RLST 20501",F. Donner,Taking these courses in sequence is recommended but not required. This sequence meets the general eduation requirement in civilization studies.
NEHC 20502,Islamic History and Society II: The Middle Period,100,"NEHC 30502,HIST 25804,HIST 35804,ISLM 30600",J. Woods,
